Original Image,Original Image Size (KB),Original Image Path,Compressed Image,Compressed Image Size (KB),Compressed Image Path,Compression Ratio,Build Tree Time (ms),Nearest Search Time (ms),CNN Inference Time (ms),Encoding Time (s),Decoding Time (s),PSNR (dB),SSIM,Blocks (blocks/s)
glioma_0001.jpg,40.51,data/dataset/glioma\glioma_0001.jpg,compressed_glioma_0001.jpg,7.08,data/compressed/vp_tree\compressed_glioma_0001.jpg,1:5,18.434,0.0451,447.2175,0.513,0.0825,22.2738,0.7402,21621.2121
glioma_0002.jpg,45.25,data/dataset/glioma\glioma_0002.jpg,compressed_glioma_0002.jpg,7.79,data/compressed/vp_tree\compressed_glioma_0002.jpg,1:5,27.0386,0.0584,46.8371,0.1351,0.0369,22.1258,0.7152,16994.964
glioma_0003.jpg,34.63,data/dataset/glioma\glioma_0003.jpg,compressed_glioma_0003.jpg,6.02,data/compressed/vp_tree\compressed_glioma_0003.jpg,1:5,17.0248,0.0387,16.4769,0.0752,0.0402,25.535,0.7995,24546.0366
glioma_0004.jpg,32.02,data/dataset/glioma\glioma_0004.jpg,compressed_glioma_0004.jpg,5.53,data/compressed/vp_tree\compressed_glioma_0004.jpg,1:5,14.2698,0.2066,16.535,0.2569,0.0369,23.6932,0.8238,4556.2935
glioma_0005.jpg,28.2,data/dataset/glioma\glioma_0005.jpg,compressed_glioma_0005.jpg,4.87,data/compressed/vp_tree\compressed_glioma_0005.jpg,1:5,12.3243,0.1628,19.151,0.2244,0.0333,25.7694,0.8344,5589.7924
glioma_0006.jpg,37.6,data/dataset/glioma\glioma_0006.jpg,compressed_glioma_0006.jpg,7.04,data/compressed/vp_tree\compressed_glioma_0006.jpg,1:5,15.0943,0.121,16.7956,0.1592,0.0343,22.9358,0.7459,8114.567
glioma_0007.jpg,38.68,data/dataset/glioma\glioma_0007.jpg,compressed_glioma_0007.jpg,6.22,data/compressed/vp_tree\compressed_glioma_0007.jpg,1:6,15.4788,0.0373,19.0468,0.0737,0.0361,25.5477,0.7877,26156.4484
glioma_0008.jpg,26.28,data/dataset/glioma\glioma_0008.jpg,compressed_glioma_0008.jpg,4.56,data/compressed/vp_tree\compressed_glioma_0008.jpg,1:5,15.9855,0.1928,18.2846,0.2375,0.0356,26.9892,0.8566,5073.9506
glioma_0009.jpg,27.13,data/dataset/glioma\glioma_0009.jpg,compressed_glioma_0009.jpg,5.03,data/compressed/vp_tree\compressed_glioma_0009.jpg,1:5,15.1258,0.2249,16.9609,0.2673,0.0328,25.0272,0.8409,4410.2739
glioma_0010.jpg,24.12,data/dataset/glioma\glioma_0010.jpg,compressed_glioma_0010.jpg,4.29,data/compressed/vp_tree\compressed_glioma_0010.jpg,1:5,14.7009,0.2315,16.6214,0.2748,0.0478,24.3667,0.8646,4222.3056
glioma_0011.jpg,32.07,data/dataset/glioma\glioma_0011.jpg,compressed_glioma_0011.jpg,5.96,data/compressed/vp_tree\compressed_glioma_0011.jpg,1:5,22.1651,0.1337,21.7128,0.1827,0.0349,23.8653,0.7901,7374.1446
glioma_0012.jpg,48.42,data/dataset/glioma\glioma_0012.jpg,compressed_glioma_0012.jpg,8.17,data/compressed/vp_tree\compressed_glioma_0012.jpg,1:5,14.7178,0.0378,18.4991,0.0754,0.0387,23.4719,0.7095,24859.019
glioma_0013.jpg,43.63,data/dataset/glioma\glioma_0013.jpg,compressed_glioma_0013.jpg,7.6,data/compressed/vp_tree\compressed_glioma_0013.jpg,1:5,12.5594,0.0405,23.8652,0.0854,0.0342,23.2925,0.7429,20928.702
glioma_0014.jpg,31.66,data/dataset/glioma\glioma_0014.jpg,compressed_glioma_0014.jpg,5.59,data/compressed/vp_tree\compressed_glioma_0014.jpg,1:5,14.5519,0.2043,19.2637,0.2544,0.0321,24.7635,0.8118,4683.9507
glioma_0015.jpg,30.97,data/dataset/glioma\glioma_0015.jpg,compressed_glioma_0015.jpg,5.26,data/compressed/vp_tree\compressed_glioma_0015.jpg,1:5,15.9605,0.1328,18.0881,0.1781,0.0343,26.0685,0.8316,7108.1898
glioma_0016.jpg,28.79,data/dataset/glioma\glioma_0016.jpg,compressed_glioma_0016.jpg,5.35,data/compressed/vp_tree\compressed_glioma_0016.jpg,1:5,14.8947,0.1292,16.5422,0.1689,0.0355,24.9231,0.8245,7582.7886
