Original Image,Original Image Size (KB),Original Image Path,Compressed Image,Compressed Image Size (KB),Compressed Image Path,Compression Ratio,Build Tree Time (ms),Nearest Search Time (ms),CNN Inference Time (ms),Encoding Time (s),Decoding Time (s),PSNR (dB),SSIM,Blocks (blocks/s)
glioma_0001.jpg,40.51,data/dataset/glioma\glioma_0001.jpg,compressed_glioma_0001.jpg,7.34,data/compressed/enhanced\compressed_glioma_0001.jpg,1:5,6.5148,0.645,172.1623,0.8457,0.0676,24.0305,0.826,1535.0698
glioma_0002.jpg,45.25,data/dataset/glioma\glioma_0002.jpg,compressed_glioma_0002.jpg,8.1,data/compressed/enhanced\compressed_glioma_0002.jpg,1:5,5.9116,0.6911,49.8588,0.7641,0.0354,23.9329,0.8028,1445.6107
glioma_0003.jpg,34.63,data/dataset/glioma\glioma_0003.jpg,compressed_glioma_0003.jpg,6.19,data/compressed/enhanced\compressed_glioma_0003.jpg,1:5,6.6431,0.6275,16.4592,0.6732,0.0365,28.0477,0.8794,1575.0481
glioma_0004.jpg,32.02,data/dataset/glioma\glioma_0004.jpg,compressed_glioma_0004.jpg,5.7,data/compressed/enhanced\compressed_glioma_0004.jpg,1:5,4.3349,0.449,17.3173,0.4882,0.0345,25.2129,0.8779,2205.4087
glioma_0005.jpg,28.2,data/dataset/glioma\glioma_0005.jpg,compressed_glioma_0005.jpg,5.04,data/compressed/enhanced\compressed_glioma_0005.jpg,1:5,6.3908,0.5327,16.1941,0.5764,0.0467,27.9213,0.8966,1849.0999
glioma_0006.jpg,37.6,data/dataset/glioma\glioma_0006.jpg,compressed_glioma_0006.jpg,7.19,data/compressed/enhanced\compressed_glioma_0006.jpg,1:5,4.8797,0.5695,21.4562,0.6179,0.0408,24.7406,0.83,1731.1241
glioma_0007.jpg,38.68,data/dataset/glioma\glioma_0007.jpg,compressed_glioma_0007.jpg,6.4,data/compressed/enhanced\compressed_glioma_0007.jpg,1:6,1.9648,0.6607,15.7437,0.7111,0.035,28.4125,0.8668,1489.6328
glioma_0008.jpg,26.28,data/dataset/glioma\glioma_0008.jpg,compressed_glioma_0008.jpg,4.6,data/compressed/enhanced\compressed_glioma_0008.jpg,1:5,8.7066,0.4788,15.696,0.532,0.0343,29.5316,0.909,2047.2405
glioma_0009.jpg,27.13,data/dataset/glioma\glioma_0009.jpg,compressed_glioma_0009.jpg,5.1,data/compressed/enhanced\compressed_glioma_0009.jpg,1:5,10.0739,0.3838,15.9698,0.4358,0.0367,26.9196,0.8914,2521.3582
glioma_0010.jpg,24.12,data/dataset/glioma\glioma_0010.jpg,compressed_glioma_0010.jpg,4.45,data/compressed/enhanced\compressed_glioma_0010.jpg,1:5,7.5305,0.405,15.229,0.4438,0.0375,27.2113,0.916,2438.481
glioma_0011.jpg,32.07,data/dataset/glioma\glioma_0011.jpg,compressed_glioma_0011.jpg,6.27,data/compressed/enhanced\compressed_glioma_0011.jpg,1:5,6.4805,0.5374,16.8793,0.577,0.0378,25.4363,0.859,1849.6829
glioma_0012.jpg,48.42,data/dataset/glioma\glioma_0012.jpg,compressed_glioma_0012.jpg,8.46,data/compressed/enhanced\compressed_glioma_0012.jpg,1:5,5.4512,0.6911,17.3254,0.7381,0.033,25.49,0.815,1431.4635
glioma_0013.jpg,43.63,data/dataset/glioma\glioma_0013.jpg,compressed_glioma_0013.jpg,7.68,data/compressed/enhanced\compressed_glioma_0013.jpg,1:5,6.1359,0.7168,16.8593,0.7685,0.0399,25.5559,0.8426,1373.6524
glioma_0014.jpg,31.66,data/dataset/glioma\glioma_0014.jpg,compressed_glioma_0014.jpg,5.8,data/compressed/enhanced\compressed_glioma_0014.jpg,1:5,8.9509,0.4578,28.0166,0.5142,0.0362,25.9807,0.8608,2159.2787
glioma_0015.jpg,30.97,data/dataset/glioma\glioma_0015.jpg,compressed_glioma_0015.jpg,5.42,data/compressed/enhanced\compressed_glioma_0015.jpg,1:5,7.8015,0.5095,15.7137,0.5621,0.0378,28.3559,0.9029,1901.1607
glioma_0016.jpg,28.79,data/dataset/glioma\glioma_0016.jpg,compressed_glioma_0016.jpg,5.6,data/compressed/enhanced\compressed_glioma_0016.jpg,1:5,5.0814,0.5381,26.2771,0.5987,0.0389,26.4748,0.8797,1804.8273
glioma_0017.jpg,32.12,data/dataset/glioma\glioma_0017.jpg,compressed_glioma_0017.jpg,6.07,data/compressed/enhanced\compressed_glioma_0017.jpg,1:5,2.0735,0.5454,60.899,0.6339,0.0359,26.6036,0.8621,1794.7926
glioma_0018.jpg,31.18,data/dataset/glioma\glioma_0018.jpg,compressed_glioma_0018.jpg,5.48,data/compressed/enhanced\compressed_glioma_0018.jpg,1:5,12.4931,0.4149,54.3313,0.5103,0.0306,25.8958,0.8977,2394.1559
glioma_0019.jpg,35.71,data/dataset/glioma\glioma_0019.jpg,compressed_glioma_0019.jpg,6.42,data/compressed/enhanced\compressed_glioma_0019.jpg,1:5,0.0,0.64,62.3817,0.7376,0.0531,26.9425,0.8625,1519.6426
glioma_0020.jpg,33.06,data/dataset/glioma\glioma_0020.jpg,compressed_glioma_0020.jpg,5.93,data/compressed/enhanced\compressed_glioma_0020.jpg,1:5,0.0,0.6662,60.4918,0.746,0.0362,26.7539,0.8884,1493.7998
glioma_0021.jpg,35.24,data/dataset/glioma\glioma_0021.jpg,compressed_glioma_0021.jpg,6.64,data/compressed/enhanced\compressed_glioma_0021.jpg,1:5,5.7793,0.4963,61.049,0.5794,0.0356,27.0065,0.8414,1997.9306
glioma_0022.jpg,24.8,data/dataset/glioma\glioma_0022.jpg,compressed_glioma_0022.jpg,4.73,data/compressed/enhanced\compressed_glioma_0022.jpg,1:5,6.2349,0.322,61.203,0.3997,0.0472,26.851,0.9071,3081.8253
glioma_0023.jpg,47.17,data/dataset/glioma\glioma_0023.jpg,compressed_glioma_0023.jpg,8.44,data/compressed/enhanced\compressed_glioma_0023.jpg,1:5,7.6139,0.6718,64.1332,0.7631,0.0361,24.3087,0.8133,1481.0549
glioma_0024.jpg,38.46,data/dataset/glioma\glioma_0024.jpg,compressed_glioma_0024.jpg,7.14,data/compressed/enhanced\compressed_glioma_0024.jpg,1:5,0.0,0.6487,56.9451,0.7306,0.0353,25.1033,0.8323,1522.5457
glioma_0025.jpg,28.16,data/dataset/glioma\glioma_0025.jpg,compressed_glioma_0025.jpg,5.48,data/compressed/enhanced\compressed_glioma_0025.jpg,1:5,6.392,0.5912,61.857,0.68,0.0413,27.6141,0.9026,1677.2276
glioma_0026.jpg,45.09,data/dataset/glioma\glioma_0026.jpg,compressed_glioma_0026.jpg,7.54,data/compressed/enhanced\compressed_glioma_0026.jpg,1:5,0.0,0.6996,58.6724,0.78,0.0367,26.1115,0.827,1421.5636
glioma_0027.jpg,29.54,data/dataset/glioma\glioma_0027.jpg,compressed_glioma_0027.jpg,5.06,data/compressed/enhanced\compressed_glioma_0027.jpg,1:5,5.4882,0.4293,61.4693,0.5118,0.0383,27.0081,0.9067,2304.5552
glioma_0028.jpg,47.39,data/dataset/glioma\glioma_0028.jpg,compressed_glioma_0028.jpg,8.17,data/compressed/enhanced\compressed_glioma_0028.jpg,1:5,6.665,0.6929,63.8049,0.7835,0.0373,24.806,0.8086,1436.1937
glioma_0029.jpg,37.75,data/dataset/glioma\glioma_0029.jpg,compressed_glioma_0029.jpg,6.75,data/compressed/enhanced\compressed_glioma_0029.jpg,1:5,16.089,0.5887,51.2793,0.6829,0.0363,26.4554,0.8738,1663.6102
glioma_0030.jpg,37.38,data/dataset/glioma\glioma_0030.jpg,compressed_glioma_0030.jpg,6.82,data/compressed/enhanced\compressed_glioma_0030.jpg,1:5,21.0226,0.4807,47.7426,0.569,0.0418,25.246,0.8447,2047.2288
glioma_0031.jpg,27.73,data/dataset/glioma\glioma_0031.jpg,compressed_glioma_0031.jpg,5.04,data/compressed/enhanced\compressed_glioma_0031.jpg,1:5,15.6708,0.3932,60.462,0.4853,0.0333,26.3522,0.8986,2502.8684
glioma_0032.jpg,33.37,data/dataset/glioma\glioma_0032.jpg,compressed_glioma_0032.jpg,6.38,data/compressed/enhanced\compressed_glioma_0032.jpg,1:5,4.7777,0.565,60.1346,0.6491,0.0346,25.0047,0.8655,1752.9842
glioma_0033.jpg,25.5,data/dataset/glioma\glioma_0033.jpg,compressed_glioma_0033.jpg,4.77,data/compressed/enhanced\compressed_glioma_0033.jpg,1:5,0.0,0.4762,60.935,0.5722,0.0329,28.3386,0.9128,2006.8712
glioma_0034.jpg,27.22,data/dataset/glioma\glioma_0034.jpg,compressed_glioma_0034.jpg,5.21,data/compressed/enhanced\compressed_glioma_0034.jpg,1:5,0.0,0.589,62.2675,0.6666,0.0354,29.3902,0.867,1694.5459
glioma_0035.jpg,33.68,data/dataset/glioma\glioma_0035.jpg,compressed_glioma_0035.jpg,6.02,data/compressed/enhanced\compressed_glioma_0035.jpg,1:5,0.0,0.5245,60.5793,0.6042,0.0424,26.4685,0.872,1883.8245
glioma_0036.jpg,32.25,data/dataset/glioma\glioma_0036.jpg,compressed_glioma_0036.jpg,6.0,data/compressed/enhanced\compressed_glioma_0036.jpg,1:5,0.0,0.4932,62.7744,0.5763,0.0343,28.0698,0.8637,1995.2788
glioma_0037.jpg,37.25,data/dataset/glioma\glioma_0037.jpg,compressed_glioma_0037.jpg,6.61,data/compressed/enhanced\compressed_glioma_0037.jpg,1:5,0.0,0.535,55.326,0.6078,0.0367,27.3152,0.8551,1853.4568
glioma_0038.jpg,36.03,data/dataset/glioma\glioma_0038.jpg,compressed_glioma_0038.jpg,6.4,data/compressed/enhanced\compressed_glioma_0038.jpg,1:5,14.5369,0.6026,63.1883,0.7008,0.0311,26.6196,0.8622,1646.1629
glioma_0039.jpg,38.77,data/dataset/glioma\glioma_0039.jpg,compressed_glioma_0039.jpg,6.97,data/compressed/enhanced\compressed_glioma_0039.jpg,1:5,5.7337,0.5284,61.4464,0.611,0.0417,26.1507,0.831,1882.8946
glioma_0040.jpg,26.36,data/dataset/glioma\glioma_0040.jpg,compressed_glioma_0040.jpg,4.82,data/compressed/enhanced\compressed_glioma_0040.jpg,1:5,6.3097,0.4016,62.3517,0.4894,0.0354,27.8724,0.9159,2475.203
glioma_0041.jpg,37.05,data/dataset/glioma\glioma_0041.jpg,compressed_glioma_0041.jpg,6.9,data/compressed/enhanced\compressed_glioma_0041.jpg,1:5,0.0,0.5396,57.893,0.6259,0.0307,25.2275,0.8246,1819.7626
glioma_0042.jpg,25.12,data/dataset/glioma\glioma_0042.jpg,compressed_glioma_0042.jpg,4.78,data/compressed/enhanced\compressed_glioma_0042.jpg,1:5,0.0,0.4312,62.613,0.5042,0.0325,28.8977,0.8922,2319.1707
glioma_0043.jpg,36.52,data/dataset/glioma\glioma_0043.jpg,compressed_glioma_0043.jpg,6.74,data/compressed/enhanced\compressed_glioma_0043.jpg,1:5,2.9175,0.5245,61.8851,0.6073,0.0347,24.7699,0.8431,1891.2446
glioma_0044.jpg,23.83,data/dataset/glioma\glioma_0044.jpg,compressed_glioma_0044.jpg,4.42,data/compressed/enhanced\compressed_glioma_0044.jpg,1:5,9.1562,0.3664,57.42,0.4447,0.0289,27.598,0.9175,2715.558
glioma_0045.jpg,30.97,data/dataset/glioma\glioma_0045.jpg,compressed_glioma_0045.jpg,5.93,data/compressed/enhanced\compressed_glioma_0045.jpg,1:5,0.0,0.3946,58.2757,0.4644,0.0326,25.2829,0.8742,2527.7926
glioma_0046.jpg,30.91,data/dataset/glioma\glioma_0046.jpg,compressed_glioma_0046.jpg,5.81,data/compressed/enhanced\compressed_glioma_0046.jpg,1:5,0.0,0.4174,62.5796,0.491,0.0387,27.6574,0.8674,2390.2892
glioma_0047.jpg,26.13,data/dataset/glioma\glioma_0047.jpg,compressed_glioma_0047.jpg,5.01,data/compressed/enhanced\compressed_glioma_0047.jpg,1:5,0.0,0.4558,62.7947,0.5337,0.0377,27.6751,0.8776,2174.5283
glioma_0048.jpg,38.24,data/dataset/glioma\glioma_0048.jpg,compressed_glioma_0048.jpg,6.91,data/compressed/enhanced\compressed_glioma_0048.jpg,1:5,0.0,0.524,60.4587,0.5991,0.0337,25.7065,0.8362,1901.0875
glioma_0049.jpg,44.89,data/dataset/glioma\glioma_0049.jpg,compressed_glioma_0049.jpg,8.15,data/compressed/enhanced\compressed_glioma_0049.jpg,1:5,0.0,0.6437,58.6183,0.7206,0.0367,23.1551,0.8116,1546.8363
glioma_0050.jpg,33.55,data/dataset/glioma\glioma_0050.jpg,compressed_glioma_0050.jpg,6.13,data/compressed/enhanced\compressed_glioma_0050.jpg,1:5,0.0,0.5977,62.4156,0.6931,0.0348,25.6159,0.8803,1623.6754
glioma_0051.jpg,33.83,data/dataset/glioma\glioma_0051.jpg,compressed_glioma_0051.jpg,5.92,data/compressed/enhanced\compressed_glioma_0051.jpg,1:5,15.9373,0.4447,47.7393,0.5262,0.0356,25.2672,0.8807,2218.7568
glioma_0052.jpg,32.6,data/dataset/glioma\glioma_0052.jpg,compressed_glioma_0052.jpg,5.92,data/compressed/enhanced\compressed_glioma_0052.jpg,1:5,0.0,0.5443,62.6585,0.622,0.0357,28.2619,0.8773,1830.7049
glioma_0053.jpg,35.69,data/dataset/glioma\glioma_0053.jpg,compressed_glioma_0053.jpg,6.15,data/compressed/enhanced\compressed_glioma_0053.jpg,1:5,13.1748,0.4006,69.2613,0.4937,0.0444,26.3615,0.8624,2489.7206
glioma_0054.jpg,36.98,data/dataset/glioma\glioma_0054.jpg,compressed_glioma_0054.jpg,6.54,data/compressed/enhanced\compressed_glioma_0054.jpg,1:5,0.0,0.5567,62.1781,0.6384,0.0354,25.618,0.8406,1776.9497
glioma_0055.jpg,33.86,data/dataset/glioma\glioma_0055.jpg,compressed_glioma_0055.jpg,6.37,data/compressed/enhanced\compressed_glioma_0055.jpg,1:5,0.0,0.5464,54.8644,0.618,0.0376,25.277,0.8575,1821.564
glioma_0056.jpg,25.72,data/dataset/glioma\glioma_0056.jpg,compressed_glioma_0056.jpg,4.59,data/compressed/enhanced\compressed_glioma_0056.jpg,1:5,0.0,0.4213,71.3325,0.5053,0.0315,29.394,0.9127,2359.8527
glioma_0057.jpg,36.6,data/dataset/glioma\glioma_0057.jpg,compressed_glioma_0057.jpg,6.68,data/compressed/enhanced\compressed_glioma_0057.jpg,1:5,0.0,0.5416,61.693,0.6173,0.0395,24.8997,0.8597,1842.8899
glioma_0058.jpg,42.41,data/dataset/glioma\glioma_0058.jpg,compressed_glioma_0058.jpg,6.92,data/compressed/enhanced\compressed_glioma_0058.jpg,1:6,0.0,0.666,71.8071,0.7637,0.0302,27.991,0.8697,1494.8355
