Original Image,Original Image Size (KB),Original Image Path,Compressed Image,Compressed Image Size (KB),Compressed Image Path,Compression Ratio,Build Tree Time (ms),Nearest Search Time (ms),CNN Inference Time (ms),Encoding Time (s),Decoding Time (s),PSNR (dB),SSIM,Blocks (blocks/s)
glioma_0001.jpg,40.51,data/dataset/glioma\glioma_0001.jpg,compressed_glioma_0001.jpg,7.34,data/compressed/kd_tree\compressed_glioma_0001.jpg,1:5,0.0,3.3216,0,3.45,0.4135,24.0305,0.826,0
glioma_0002.jpg,45.25,data/dataset/glioma\glioma_0002.jpg,compressed_glioma_0002.jpg,8.1,data/compressed/kd_tree\compressed_glioma_0002.jpg,1:5,0.0,3.3302,0,3.4379,0.0329,23.9329,0.8028,0
glioma_0003.jpg,34.63,data/dataset/glioma\glioma_0003.jpg,compressed_glioma_0003.jpg,6.19,data/compressed/kd_tree\compressed_glioma_0003.jpg,1:5,2.0065,3.4624,0,3.5652,0.0399,28.0477,0.8794,0
glioma_0004.jpg,32.02,data/dataset/glioma\glioma_0004.jpg,compressed_glioma_0004.jpg,5.7,data/compressed/kd_tree\compressed_glioma_0004.jpg,1:5,3.7086,3.3998,0,3.5272,0.0508,25.2129,0.8779,0
glioma_0005.jpg,28.2,data/dataset/glioma\glioma_0005.jpg,compressed_glioma_0005.jpg,5.04,data/compressed/kd_tree\compressed_glioma_0005.jpg,1:5,4.3592,3.568,0,3.6823,0.0499,27.9213,0.8966,0
glioma_0006.jpg,37.6,data/dataset/glioma\glioma_0006.jpg,compressed_glioma_0006.jpg,7.19,data/compressed/kd_tree\compressed_glioma_0006.jpg,1:5,2.5721,3.4133,0,3.5247,0.0385,24.7406,0.83,0
glioma_0007.jpg,38.68,data/dataset/glioma\glioma_0007.jpg,compressed_glioma_0007.jpg,6.4,data/compressed/kd_tree\compressed_glioma_0007.jpg,1:6,3.5923,3.2408,0,3.3472,0.0327,28.4125,0.8668,0
glioma_0008.jpg,26.28,data/dataset/glioma\glioma_0008.jpg,compressed_glioma_0008.jpg,4.6,data/compressed/kd_tree\compressed_glioma_0008.jpg,1:5,5.6565,3.5125,0,3.6519,0.0244,29.5316,0.909,0
glioma_0009.jpg,27.13,data/dataset/glioma\glioma_0009.jpg,compressed_glioma_0009.jpg,5.1,data/compressed/kd_tree\compressed_glioma_0009.jpg,1:5,3.509,3.6233,0,3.7347,0.0328,26.9196,0.8914,0
glioma_0010.jpg,24.12,data/dataset/glioma\glioma_0010.jpg,compressed_glioma_0010.jpg,4.45,data/compressed/kd_tree\compressed_glioma_0010.jpg,1:5,0.0,3.8501,0,3.9549,0.0237,27.2113,0.916,0
glioma_0011.jpg,32.07,data/dataset/glioma\glioma_0011.jpg,compressed_glioma_0011.jpg,6.27,data/compressed/kd_tree\compressed_glioma_0011.jpg,1:5,3.629,3.6713,0,3.7817,0.038,25.4363,0.859,0
glioma_0012.jpg,48.42,data/dataset/glioma\glioma_0012.jpg,compressed_glioma_0012.jpg,8.46,data/compressed/kd_tree\compressed_glioma_0012.jpg,1:5,3.4626,3.3104,0,3.4174,0.0267,25.49,0.815,0
glioma_0013.jpg,43.63,data/dataset/glioma\glioma_0013.jpg,compressed_glioma_0013.jpg,7.68,data/compressed/kd_tree\compressed_glioma_0013.jpg,1:5,0.0,3.3186,0,3.4099,0.0414,25.5559,0.8426,0
glioma_0014.jpg,31.66,data/dataset/glioma\glioma_0014.jpg,compressed_glioma_0014.jpg,5.8,data/compressed/kd_tree\compressed_glioma_0014.jpg,1:5,2.0082,3.5992,0,3.706,0.0474,25.9807,0.8608,0
glioma_0015.jpg,30.97,data/dataset/glioma\glioma_0015.jpg,compressed_glioma_0015.jpg,5.42,data/compressed/kd_tree\compressed_glioma_0015.jpg,1:5,0.0,3.3775,0,3.49,0.0383,28.3559,0.9029,0
glioma_0016.jpg,28.79,data/dataset/glioma\glioma_0016.jpg,compressed_glioma_0016.jpg,5.6,data/compressed/kd_tree\compressed_glioma_0016.jpg,1:5,0.0,3.5535,0,3.6525,0.0524,26.4748,0.8797,0
glioma_0017.jpg,32.12,data/dataset/glioma\glioma_0017.jpg,compressed_glioma_0017.jpg,6.07,data/compressed/kd_tree\compressed_glioma_0017.jpg,1:5,2.008,3.3532,0,3.4589,0.0371,26.6036,0.8621,0
glioma_0018.jpg,31.18,data/dataset/glioma\glioma_0018.jpg,compressed_glioma_0018.jpg,5.48,data/compressed/kd_tree\compressed_glioma_0018.jpg,1:5,4.4491,3.3839,0,3.4831,0.0427,25.8958,0.8977,0
glioma_0019.jpg,35.71,data/dataset/glioma\glioma_0019.jpg,compressed_glioma_0019.jpg,6.42,data/compressed/kd_tree\compressed_glioma_0019.jpg,1:5,3.7942,3.4506,0,3.5611,0.0366,26.9425,0.8625,0
glioma_0020.jpg,33.06,data/dataset/glioma\glioma_0020.jpg,compressed_glioma_0020.jpg,5.93,data/compressed/kd_tree\compressed_glioma_0020.jpg,1:5,2.6743,3.5743,0,3.6981,0.0283,26.7539,0.8884,0
glioma_0021.jpg,35.24,data/dataset/glioma\glioma_0021.jpg,compressed_glioma_0021.jpg,6.64,data/compressed/kd_tree\compressed_glioma_0021.jpg,1:5,3.257,3.2856,0,3.399,0.0386,27.0065,0.8414,0
glioma_0022.jpg,24.8,data/dataset/glioma\glioma_0022.jpg,compressed_glioma_0022.jpg,4.73,data/compressed/kd_tree\compressed_glioma_0022.jpg,1:5,1.411,3.5505,0,3.6562,0.0355,26.851,0.9071,0
glioma_0023.jpg,47.17,data/dataset/glioma\glioma_0023.jpg,compressed_glioma_0023.jpg,8.44,data/compressed/kd_tree\compressed_glioma_0023.jpg,1:5,3.4847,3.2055,0,3.3078,0.0364,24.3087,0.8133,0
glioma_0024.jpg,38.46,data/dataset/glioma\glioma_0024.jpg,compressed_glioma_0024.jpg,7.14,data/compressed/kd_tree\compressed_glioma_0024.jpg,1:5,2.0065,3.4083,0,3.5165,0.0524,25.1033,0.8323,0
glioma_0025.jpg,28.16,data/dataset/glioma\glioma_0025.jpg,compressed_glioma_0025.jpg,5.48,data/compressed/kd_tree\compressed_glioma_0025.jpg,1:5,4.5092,4.0013,0,4.1624,0.0391,27.6141,0.9026,0
glioma_0026.jpg,45.09,data/dataset/glioma\glioma_0026.jpg,compressed_glioma_0026.jpg,7.54,data/compressed/kd_tree\compressed_glioma_0026.jpg,1:5,3.6311,3.315,0,3.4211,0.0417,26.1115,0.827,0
glioma_0027.jpg,29.54,data/dataset/glioma\glioma_0027.jpg,compressed_glioma_0027.jpg,5.06,data/compressed/kd_tree\compressed_glioma_0027.jpg,1:5,0.0,3.5696,0,3.6869,0.0337,27.0081,0.9067,0
glioma_0028.jpg,47.39,data/dataset/glioma\glioma_0028.jpg,compressed_glioma_0028.jpg,8.17,data/compressed/kd_tree\compressed_glioma_0028.jpg,1:5,2.8596,3.2303,0,3.3229,0.0341,24.806,0.8086,0
glioma_0029.jpg,37.75,data/dataset/glioma\glioma_0029.jpg,compressed_glioma_0029.jpg,6.75,data/compressed/kd_tree\compressed_glioma_0029.jpg,1:5,3.9716,3.3144,0,3.4267,0.0426,26.4554,0.8738,0
glioma_0030.jpg,37.38,data/dataset/glioma\glioma_0030.jpg,compressed_glioma_0030.jpg,6.82,data/compressed/kd_tree\compressed_glioma_0030.jpg,1:5,3.0105,3.4748,0,3.5747,0.0513,25.246,0.8447,0
glioma_0031.jpg,27.73,data/dataset/glioma\glioma_0031.jpg,compressed_glioma_0031.jpg,5.04,data/compressed/kd_tree\compressed_glioma_0031.jpg,1:5,3.2189,3.5077,0,3.6377,0.0248,26.3522,0.8986,0
glioma_0032.jpg,33.37,data/dataset/glioma\glioma_0032.jpg,compressed_glioma_0032.jpg,6.38,data/compressed/kd_tree\compressed_glioma_0032.jpg,1:5,3.4342,3.5054,0,3.6152,0.0348,25.0047,0.8655,0
glioma_0033.jpg,25.5,data/dataset/glioma\glioma_0033.jpg,compressed_glioma_0033.jpg,4.77,data/compressed/kd_tree\compressed_glioma_0033.jpg,1:5,3.9804,3.4679,0,3.5659,0.0359,28.3386,0.9128,0
glioma_0034.jpg,27.22,data/dataset/glioma\glioma_0034.jpg,compressed_glioma_0034.jpg,5.21,data/compressed/kd_tree\compressed_glioma_0034.jpg,1:5,2.9397,3.4206,0,3.5492,0.0348,29.3902,0.867,0
glioma_0035.jpg,33.68,data/dataset/glioma\glioma_0035.jpg,compressed_glioma_0035.jpg,6.02,data/compressed/kd_tree\compressed_glioma_0035.jpg,1:5,3.7003,3.3177,0,3.4527,0.0393,26.4685,0.872,0
glioma_0036.jpg,32.25,data/dataset/glioma\glioma_0036.jpg,compressed_glioma_0036.jpg,6.0,data/compressed/kd_tree\compressed_glioma_0036.jpg,1:5,4.4327,3.4093,0,3.5262,0.0338,28.0698,0.8637,0
glioma_0037.jpg,37.25,data/dataset/glioma\glioma_0037.jpg,compressed_glioma_0037.jpg,6.61,data/compressed/kd_tree\compressed_glioma_0037.jpg,1:5,18.604,3.3421,0,3.4574,0.0489,27.3152,0.8551,0
glioma_0038.jpg,36.03,data/dataset/glioma\glioma_0038.jpg,compressed_glioma_0038.jpg,6.4,data/compressed/kd_tree\compressed_glioma_0038.jpg,1:5,4.6351,3.2709,0,3.3864,0.0453,26.6196,0.8622,0
glioma_0039.jpg,38.77,data/dataset/glioma\glioma_0039.jpg,compressed_glioma_0039.jpg,6.97,data/compressed/kd_tree\compressed_glioma_0039.jpg,1:5,0.0,3.3496,0,3.4566,0.0345,26.1507,0.831,0
glioma_0040.jpg,26.36,data/dataset/glioma\glioma_0040.jpg,compressed_glioma_0040.jpg,4.82,data/compressed/kd_tree\compressed_glioma_0040.jpg,1:5,0.0,3.6082,0,3.7301,0.0332,27.8724,0.9159,0
glioma_0041.jpg,37.05,data/dataset/glioma\glioma_0041.jpg,compressed_glioma_0041.jpg,6.9,data/compressed/kd_tree\compressed_glioma_0041.jpg,1:5,2.5353,3.2728,0,3.3764,0.0424,25.2275,0.8246,0
glioma_0042.jpg,25.12,data/dataset/glioma\glioma_0042.jpg,compressed_glioma_0042.jpg,4.78,data/compressed/kd_tree\compressed_glioma_0042.jpg,1:5,7.6163,3.5261,0,3.6336,0.0524,28.8977,0.8922,0
glioma_0043.jpg,36.52,data/dataset/glioma\glioma_0043.jpg,compressed_glioma_0043.jpg,6.74,data/compressed/kd_tree\compressed_glioma_0043.jpg,1:5,4.0872,3.4019,0,3.5111,0.0424,24.7699,0.8431,0
glioma_0044.jpg,23.83,data/dataset/glioma\glioma_0044.jpg,compressed_glioma_0044.jpg,4.42,data/compressed/kd_tree\compressed_glioma_0044.jpg,1:5,0.0,3.4849,0,3.5849,0.038,27.598,0.9175,0
glioma_0045.jpg,30.97,data/dataset/glioma\glioma_0045.jpg,compressed_glioma_0045.jpg,5.93,data/compressed/kd_tree\compressed_glioma_0045.jpg,1:5,2.1288,3.3839,0,3.492,0.0351,25.2829,0.8742,0
glioma_0046.jpg,30.91,data/dataset/glioma\glioma_0046.jpg,compressed_glioma_0046.jpg,5.81,data/compressed/kd_tree\compressed_glioma_0046.jpg,1:5,1.0064,3.4515,0,3.5555,0.033,27.6574,0.8674,0
glioma_0047.jpg,26.13,data/dataset/glioma\glioma_0047.jpg,compressed_glioma_0047.jpg,5.01,data/compressed/kd_tree\compressed_glioma_0047.jpg,1:5,3.7217,3.4991,0,3.6031,0.0335,27.6751,0.8776,0
glioma_0048.jpg,38.24,data/dataset/glioma\glioma_0048.jpg,compressed_glioma_0048.jpg,6.91,data/compressed/kd_tree\compressed_glioma_0048.jpg,1:5,3.0293,3.2904,0,3.3982,0.0493,25.7065,0.8362,0
glioma_0049.jpg,44.89,data/dataset/glioma\glioma_0049.jpg,compressed_glioma_0049.jpg,8.15,data/compressed/kd_tree\compressed_glioma_0049.jpg,1:5,1.8423,3.2191,0,3.336,0.0484,23.1551,0.8116,0
glioma_0050.jpg,33.55,data/dataset/glioma\glioma_0050.jpg,compressed_glioma_0050.jpg,6.13,data/compressed/kd_tree\compressed_glioma_0050.jpg,1:5,3.1011,3.344,0,3.4783,0.0338,25.6159,0.8803,0
glioma_0051.jpg,33.83,data/dataset/glioma\glioma_0051.jpg,compressed_glioma_0051.jpg,5.92,data/compressed/kd_tree\compressed_glioma_0051.jpg,1:5,3.7491,3.2776,0,3.3757,0.042,25.2672,0.8807,0
glioma_0052.jpg,32.6,data/dataset/glioma\glioma_0052.jpg,compressed_glioma_0052.jpg,5.92,data/compressed/kd_tree\compressed_glioma_0052.jpg,1:5,3.9048,3.2833,0,3.3976,0.042,28.2619,0.8773,0
glioma_0053.jpg,35.69,data/dataset/glioma\glioma_0053.jpg,compressed_glioma_0053.jpg,6.15,data/compressed/kd_tree\compressed_glioma_0053.jpg,1:5,3.0308,3.3976,0,3.5202,0.0426,26.3615,0.8624,0
glioma_0054.jpg,36.98,data/dataset/glioma\glioma_0054.jpg,compressed_glioma_0054.jpg,6.54,data/compressed/kd_tree\compressed_glioma_0054.jpg,1:5,17.9713,3.1958,0,3.3294,0.0359,25.618,0.8406,0
glioma_0055.jpg,33.86,data/dataset/glioma\glioma_0055.jpg,compressed_glioma_0055.jpg,6.37,data/compressed/kd_tree\compressed_glioma_0055.jpg,1:5,5.1174,3.2789,0,3.3877,0.0252,25.277,0.8575,0
glioma_0056.jpg,25.72,data/dataset/glioma\glioma_0056.jpg,compressed_glioma_0056.jpg,4.59,data/compressed/kd_tree\compressed_glioma_0056.jpg,1:5,18.656,3.5103,0,3.6441,0.0348,29.394,0.9127,0
glioma_0057.jpg,36.6,data/dataset/glioma\glioma_0057.jpg,compressed_glioma_0057.jpg,6.68,data/compressed/kd_tree\compressed_glioma_0057.jpg,1:5,2.7335,3.3293,0,3.4318,0.0332,24.8997,0.8597,0
glioma_0058.jpg,42.41,data/dataset/glioma\glioma_0058.jpg,compressed_glioma_0058.jpg,6.92,data/compressed/kd_tree\compressed_glioma_0058.jpg,1:6,16.0887,3.1627,0,3.2734,0.0418,27.991,0.8697,0
glioma_0059.jpg,28.91,data/dataset/glioma\glioma_0059.jpg,compressed_glioma_0059.jpg,4.81,data/compressed/kd_tree\compressed_glioma_0059.jpg,1:6,6.4354,3.704,0,3.8263,0.0343,28.4229,0.9199,0
