Method,Test Runs,Original Image,Original Image Size (KB),Original Image Path,Compressed Image,Compressed Image Size (KB),Compressed Image Path,Compression Ratio,Build Tree Time (ms),Nearest Search Time (ms),CNN Inference Time (ms),Encoding Time (s),Decoding Time (s),PSNR (dB),SSIM,Blocks (blocks/s)
vp-tree,1,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,vp-tree_1_compressed_glioma_0132.jpg,9.35,data/compressed/multiTest\vp-tree_1_compressed_glioma_0132.jpg,1:5,17.2559,0.0421,411.2881,0.4881,0.0718,21.1975,0.6526,21204.2524
vp-tree,1,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,vp-tree_1_compressed_glioma_0990.jpg,8.91,data/compressed/multiTest\vp-tree_1_compressed_glioma_0990.jpg,1:5,15.6662,0.0399,48.429,0.1157,0.0387,21.9949,0.6741,23802.2738
vp-tree,1,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,vp-tree_1_compressed_glioma_0322.jpg,8.93,data/compressed/multiTest\vp-tree_1_compressed_glioma_0322.jpg,1:5,15.0991,0.0394,17.8115,0.0725,0.0398,21.688,0.6741,24134.9483
vp-tree,1,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,vp-tree_1_compressed_glioma_0296.jpg,8.29,data/compressed/multiTest\vp-tree_1_compressed_glioma_0296.jpg,1:6,17.4032,0.0419,18.8626,0.0876,0.0397,24.4812,0.7017,22271.9571
vp-tree,1,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,vp-tree_1_compressed_glioma_0102.jpg,8.59,data/compressed/multiTest\vp-tree_1_compressed_glioma_0102.jpg,1:5,17.9373,0.0456,16.5063,0.0841,0.0428,22.9072,0.6712,19998.8282
vp-tree,1,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,vp-tree_1_compressed_glioma_0840.jpg,5.61,data/compressed/multiTest\vp-tree_1_compressed_glioma_0840.jpg,1:6,15.3006,0.2178,18.8319,0.2658,0.045,24.6685,0.8198,4491.9846
vp-tree,1,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,vp-tree_1_compressed_glioma_0557.jpg,6.12,data/compressed/multiTest\vp-tree_1_compressed_glioma_0557.jpg,1:5,19.6347,0.1332,19.3488,0.1813,0.0418,23.1608,0.7985,7260.3053
vp-tree,1,glioma_0386.jpg,34.02,data/dataset/glioma\glioma_0386.jpg,vp-tree_1_compressed_glioma_0386.jpg,5.92,data/compressed/multiTest\vp-tree_1_compressed_glioma_0386.jpg,1:5,19.0189,0.1188,18.1052,0.1653,0.0462,26.4705,0.7978,8140.2929
vp-tree,1,glioma_0769.jpg,34.04,data/dataset/glioma\glioma_0769.jpg,vp-tree_1_compressed_glioma_0769.jpg,6.02,data/compressed/multiTest\vp-tree_1_compressed_glioma_0769.jpg,1:5,20.1675,0.1491,17.2708,0.1963,0.0486,24.4745,0.791,6527.3694
vp-tree,1,glioma_0159.jpg,34.04,data/dataset/glioma\glioma_0159.jpg,vp-tree_1_compressed_glioma_0159.jpg,6.0,data/compressed/multiTest\vp-tree_1_compressed_glioma_0159.jpg,1:5,19.6394,0.1196,16.9615,0.1685,0.0373,25.1389,0.786,8101.4773
